Title,Author,Publisher,Date Read,Rating,My Rating,Category,Pages
"Co robić przed końcem świata",Tomasz Stawiszyński,Agora,2022-07-30,6.7,7,publicystyka literacka | eseje,360
"Człowiek w poszukiwaniu sensu",Viktor E. Frankl,Czarna Owca,2022-07-23,7.9,7,biografia | autobiografia | pamiętnik,224
"Pestki",Anna Ciarkowska,Otwarte,2022-07-24,7.6,8,literatura piękna,232
"Wypiór",Grzegorz Uzdański,Filtry,2022-05-27,7.2,8,poezja,216
"Od jednego Lucypera",Anna Dziewit-Meller,Wydawnictwo Literackie,2022-05-23,7.5,8,powieść historyczna,299
"Ludzie Putina. Jak KGB odzyskało Rosję i zwróciło się przeciwko Zachodowi",Catherine Belton,Sine Qua Non,2022-04-17,7.5,9,historia,659
"Grażyna",Adam Mickiewicz,Greg,2022-04-10,5.6,7,klasyka,64
"Wolność, równość, przemoc. Czego nie chcemy sobie powiedzieć",Agata Sikora,Karakter,2022-03-21,7.1,7,publicystyka literacka | eseje,256
"Na ciężkim kacu. Nowa Rosja Putina i duchy przeszłości",Shaun Walker,Wydawnictwo Poznańskie,2022-03-14,7.1,7,reportaż,444
"Najada",Zyta Oryszyn,Wydawnictwo Drzazgi,2022-02-27,7.5,8,literatura piękna,180
"Normalni ludzie",Sally Rooney,W.A.B.,2022-02-20,6.4,8,literatura piękna,304
"One Last Stop",Casey McQuiston,Prószyński i S-ka,2022-02-13,7.0,7,literatura młodzieżowa,512
"Bowie w Warszawie",Dorota Masłowska,,2022-02-06,6.3,8,literatura piękna,
"Trick Mirror: Reflections on Self-Delusion",Jia Tolentino,Penguin Random House,2022-02-05,6.3,6,publicystyka literacka | eseje,320
"Nie tylko pomarańcze...",Jeanette Winterson,Rebis,2022-01-31,6.3,8,literatura piękna,192
"Utopia regulaminów. O technologii, tępocie i ukrytych rozkoszach biurokracji",David Graeber,Krytyka Polityczna,2022-01-30,6.8,7,nauki społeczne (psychologia | socjologia | itd.),320
"Hazards of Time Travel",Joyce Carol Oates,4th Estate,2022-01-14,6.0,6,literatura piękna,324
"Choroba jako metafora. AIDS i jego metafory",Susan Sontag,Karakter,2022-01-09,7.6,8,publicystyka literacka | eseje,192
"Before the Coffee Gets Cold",Toshikazu Kawaguchi,Picador,2022-01-05,7.0,5,fantasy | science fiction,224
"Rzeźnia numer pięć",Kurt Vonnegut,Zysk i S-ka,2021-12-31,7.6,9,literatura piękna,240
"Co robić przed końcem świata",Tomasz Stawiszyński,Agora,2022-07-30,6.7,7,publicystyka literacka | eseje,360
"Człowiek w poszukiwaniu sensu",Viktor E. Frankl,Czarna Owca,2022-07-23,7.9,7,biografia | autobiografia | pamiętnik,224
"Pestki",Anna Ciarkowska,Otwarte,2022-07-24,7.6,8,literatura piękna,232
"Wypiór",Grzegorz Uzdański,Filtry,2022-05-27,7.2,8,poezja,216
"Od jednego Lucypera",Anna Dziewit-Meller,Wydawnictwo Literackie,2022-05-23,7.5,8,powieść historyczna,299
"Ludzie Putina. Jak KGB odzyskało Rosję i zwróciło się przeciwko Zachodowi",Catherine Belton,Sine Qua Non,2022-04-17,7.5,9,historia,659
"Grażyna",Adam Mickiewicz,Greg,2022-04-10,5.6,7,klasyka,64
"Wolność, równość, przemoc. Czego nie chcemy sobie powiedzieć",Agata Sikora,Karakter,2022-03-21,7.1,7,publicystyka literacka | eseje,256
"Na ciężkim kacu. Nowa Rosja Putina i duchy przeszłości",Shaun Walker,Wydawnictwo Poznańskie,2022-03-14,7.1,7,reportaż,444
"Najada",Zyta Oryszyn,Wydawnictwo Drzazgi,2022-02-27,7.5,8,literatura piękna,180
"Normalni ludzie",Sally Rooney,W.A.B.,2022-02-20,6.4,8,literatura piękna,304
"One Last Stop",Casey McQuiston,Prószyński i S-ka,2022-02-13,7.0,7,literatura młodzieżowa,512
"Bowie w Warszawie",Dorota Masłowska,,2022-02-06,6.3,8,literatura piękna,
"Trick Mirror: Reflections on Self-Delusion",Jia Tolentino,Penguin Random House,2022-02-05,6.3,6,publicystyka literacka | eseje,320
"Nie tylko pomarańcze...",Jeanette Winterson,Rebis,2022-01-31,6.3,8,literatura piękna,192
"Utopia regulaminów. O technologii, tępocie i ukrytych rozkoszach biurokracji",David Graeber,Krytyka Polityczna,2022-01-30,6.8,7,nauki społeczne (psychologia | socjologia | itd.),320
"Hazards of Time Travel",Joyce Carol Oates,4th Estate,2022-01-14,6.0,6,literatura piękna,324
"Choroba jako metafora. AIDS i jego metafory",Susan Sontag,Karakter,2022-01-09,7.6,8,publicystyka literacka | eseje,192
"Before the Coffee Gets Cold",Toshikazu Kawaguchi,Picador,2022-01-05,7.0,5,fantasy | science fiction,224
"Rzeźnia numer pięć",Kurt Vonnegut,Zysk i S-ka,2021-12-31,7.6,9,literatura piękna,240
"Próba",Joanna Bednarek,Wydawnictwo Krytyki Politycznej,2021-12-26,6.4,6,literatura piękna,160
"Dorośli",Marie Aubert,Wydawnictwo Pauza,2021-12-23,6.8,8,literatura piękna,144
"Wielkie Księstwo Groteski",Szczepan Twardoch,,2021-12-22,6.7,7,literatura piękna,
"Pamięć zewnętrzna",Radosław Jurczak,,2021-12-20,6.4,8,poezja,
"Juliusz Słowacki. Wychodzenie z szafy",Marta Justyna Nowicka,Krytyka Polityczna,2021-12-19,6.5,6,biografia | autobiografia | pamiętnik,352
"Jak wyszliśmy na ludzi. Dlaczego potrzebujemy siebie nawzajem i co sprawia nam przyjemność",William von Hippel,Feeria Science,2021-11-21,7.2,7,popularnonaukowa,340
"Ucieczka od bezradności",Tomasz Stawiszyński,Znak Literanova,2021-11-20,7.2,7,filozofia | etyka,362
"Łyski liczą do trzech",Olga Hund,Czarne,2021-11-07,6.9,8,literatura piękna,184
"Zapaść. Reportaże z mniejszych miast",Marek Szymaniak,Czarne,2021-10-30,7.2,8,reportaż,256
"Kot niebieski",Martyna Bunda,Wydawnictwo Literackie,2021-10-10,7.2,8,literatura piękna,416
"Punkt przełomowy. O małych przyczynach wielkich zmian",Malcolm Gladwell,Znak Literanova,2021-09-30,7.1,7,nauki społeczne (psychologia | socjologia | itd.),336
"Frajda",Marta Dzido,Korporacja Ha!art,2021-09-30,6.8,6,literatura piękna,144
"Prześniona rewolucja. Ćwiczenie z logiki historycznej",Andrzej Leder,Krytyka Polityczna,2021-09-23,7.5,9,historia,205
"Factfulness. Dlaczego świat jest lepszy, niż myślimy, czyli jak stereotypy zastąpić realną wiedzą",Hans Rosling,Media Rodzina,2021-09-15,7.9,8,reportaż,368
"On",Zośka Papużanka,Znak Literanova,2021-09-15,6.9,6,literatura piękna,288
"Reset. Świat na nowo",Karolina Korwin-Piotrowska,MANDO,2021-08-25,6.2,5,reportaż,432
"To zmienia wszystko",Naomi Klein,Muza,2021-08-23,7.6,7,nauki społeczne (psychologia | socjologia | itd.),590
"Cukry",Dorota Kotas,Wydawnictwo Cyranka,2021-08-20,7.3,7,literatura piękna,196
"Red, White & Royal Blue",Casey McQuiston,Prószyński i S-ka,2021-07-31,7.2,7,literatura młodzieżowa,476
"Szczeliny istnienia",Jolanta Brach-Czaina,Dowody na Istnienie,2021-07-30,7.5,7,publicystyka literacka | eseje,200
"Chamstwo",Kacper Pobłocki,Czarne,2021-07-25,7.3,9,historia,384
"Faworyty",Manuela Gretkowska,Znak Literanova,2021-07-19,6.1,9,literatura piękna,320
"Pustostany",Dorota Kotas,Niebieska Studnia,2021-06-30,6.7,9,literatura obyczajowa | romans,182
"Długie spacery nad Olzą",Jerzy Kronhold,Wydawnictwo Literackie,2021-06-28,5.1,6,poezja,88
"Janion. Transe - traumy - transgresje. 2: Prof. Misia",Maria Janion | Kazimiera Szczuka,Krytyka Polityczna,2021-06-27,7.0,7,publicystyka literacka | eseje,208
"Janion. Transe - traumy - transgresje. 1: Niedobre dziecię",Maria Janion | Kazimiera Szczuka,Krytyka Polityczna,2021-06-11,6.9,8,biografia | autobiografia | pamiętnik,180
"Pandemia! Covid-19 trzęsie światem",Slavoj Žižek,Relacja,2021-05-31,5.6,6,nauki społeczne (psychologia | socjologia | itd.),144
"Pandemia 2. Kroniki straconego czasu",Slavoj Žižek,Grupa Wydawnicza Relacja,2021-05-29,6.5,8,filozofia | etyka,214
"Bullshit Jobs. A Theory",David Graeber,Simon & Schuster,2021-05-14,6.7,8,nauki społeczne (psychologia | socjologia | itd.),368
"Niewidzialne życie Addie LaRue",Victoria Schwab,We need YA,2021-05-25,7.6,6,fantasy | science fiction,608
"Mam na imię nie mam",Katarzyna Michalczak,,2021-05-07,6.6,9,literatura piękna,
"Ona ma siłę. Zaskakujący poradnik seksualności kobiet",Emily Nagoski,Buchmann,2021-04-25,7.7,7,poradniki,400
"Gniew.",Tomasz Szymon Markiewka,Czarne,2021-04-21,7.4,7,publicystyka literacka | eseje,216
"Urok codzienności. Psychologia emocjonalnego przepływu",Mihály Csíkszentmihályi,CiS, W.A.B.,2021-04-12,7.3,6,nauki społeczne (psychologia | socjologia | itd.),231
"Everything is F*cked: A Book About Hope",Mark Manson,,2021-04-11,6.7,6,nauki społeczne (psychologia | socjologia | itd.),
"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",Mark Manson,HarperOne,2021-03-25,6.8,7,poradniki,224
"Mleko i miód",Rupi Kaur,Otwarte,2021-03-21,6.9,7,poezja,204
"Scarcity. Why Having Too Little Means So Much",Sendhil Mullainathan | Eldar Shafir,Times Books,2021-03-13,7.5,7,biznes | finanse,288
"Bezmatek",Mira Marcinów,Czarne,2021-03-07,7.2,8,biografia | autobiografia | pamiętnik,256
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Nicole LePera,Harper Wave,2021-05-18,8.3,7,poradniki,320
"Jak robić nic? Manifest przeciw kultowi produktywności",Jenny Odell,Mova,2021-02-21,5.9,6,publicystyka literacka | eseje,368
"Doktryna szoku. Jak współczesny kapitalizm wykorzystuje klęski żywiołowe i kryzysy społeczne",Naomi Klein,Muza,2021-02-15,7.6,9,reportaż,592
"Eksperymenty na biednych",Adam Leszczyński,Instytut Studiów Politycznych PAN, Krytyka Polityczna,2021-02-09,7.0,8,nauki społeczne (psychologia | socjologia | itd.),304
"If Then: How the Simulmatics Corporation Invented the Future",Jill Lepore,Liveright,2021-01-30,7.5,9,historia,432
"Bad Feminist: Essays",Roxane Gay,Harper Perennial,2021-01-27,6.8,8,publicystyka literacka | eseje,336
"Nie ma",Mariusz Szczygieł,Dowody na Istnienie,2021-01-22,7.3,7,publicystyka literacka | eseje,336
"The Sum of Small Things: A Theory of the Aspirational Class",Elizabeth Currid-Halkett,Princeton University Press,2021-01-16,6.0,6,nauki społeczne (psychologia | socjologia | itd.),272
"Ten Arguments for Deleting Your Social Media Accounts Right Now",Jaron Lanier,Penguin Books,2021-01-16,6.3,7,publicystyka literacka | eseje,160
"O telewizji. Panowanie dziennikarstwa",Pierre Bourdieu,Wydawnictwo Naukowe PWN,2021-01-11,6.4,7,nauki społeczne (psychologia | socjologia | itd.),122
"Codzienność nudy. Dom jako przestrzeń produktywna i nieproduktywna",Aleksandra Gordowy,,2021-01-05,7.4,7,filozofia | etyka,
"Nigdy dość dobra. Jak wyzwolić się od destrukcyjnego wpływu narcystycznej matki",Karyl McBride,Feeria,2020-12-30,7.4,7,nauki społeczne (psychologia | socjologia | itd.),300
"Myśl to forma odczuwania. Susan Sontag w rozmowie z Jonathanem Cottem",Susan Sontag | Jonathan Cott,Karakter,2020-12-20,7.5,7,biografia | autobiografia | pamiętnik,160
"Czuły narrator",Olga Tokarczuk,Wydawnictwo Literackie,2020-12-15,7.6,7,literatura piękna,304
"Manifest komunistyczny",Karol Marks | Fryderyk Engels,Jirafa Roja,2020-12-05,6.0,,filozofia | etyka,119
"Wszyscy powinniśmy być feministami",Chimamanda Ngozi Adichie,Zysk i S-ka,2020-12-05,7.5,8,publicystyka literacka | eseje,80
"Kochana Ijeawele albo manifest feministyczny w piętnastu wskazówkach",Chimamanda Ngozi Adichie,Zysk i S-ka,2020-12-05,8.0,8,publicystyka literacka | eseje,68
"Krótka historia wszystkich ludzi, którzy kiedykolwiek żyli. Opowieści zapisane w naszych genach",Adam Rutherford,Prószyński i S-ka,2020-11-24,7.3,8,popularnonaukowa,456
"Uwikłani w płeć. Feminizm i polityka tożsamości",Judith Butler,Krytyka Polityczna,2020-11-22,6.8,6,nauki społeczne (psychologia | socjologia | itd.),269
"A ja żem jej powiedziała...",Katarzyna Nosowska,Wielka Litera,2020-11-05,6.7,8,literatura piękna,208
"24/7. Późny kapitalizm i koniec snu",Jonathan Crary,Karakter,2021-02-26,5.9,10,literatura piękna,208
"Ukryte działania",Margot Lee Shetterly,HarperCollins Polska,2020-10-27,6.8,8,reportaż,460
"Magia rzeczywistości",Richard Dawkins,CiS,2020-10-23,7.9,6,popularnonaukowa,272
"Averno: Poems",Louise Glück,Farrar, Straus & Giroux,2020-10-23,8.4,8,poezja,99
"Rzeka genów. Darwinowski obraz życia",Richard Dawkins,CiS,2020-10-18,7.2,8,popularnonaukowa,224
"How to Lie with Statistics",Darrel Huff | Irving Geis,Norton & Company,2020-10-16,6.8,7,biznes | finanse,144
"Mój rok relaksu i odpoczynku",Ottessa Moshfegh,Wydawnictwo Pauza,2020-10-16,6.5,5,literatura piękna,272
"Powrót z Bambuko",Katarzyna Nosowska,Wielka Litera,2020-10-11,7.3,9,publicystyka literacka | eseje,272
"O powstawaniu Polaków",Tomasz Ulanowski,Czarne,2020-10-03,6.4,7,literatura piękna,240
"Yūrei. Niesamowite duchy w kulturze japońskiej",Zack Davisson,Wydawnictwo Uniwersytetu Jagiellońskiego,2020-09-29,7.1,6,popularnonaukowa,256
"Jakimi istotami jesteśmy?",Noam Chomsky,Vis-á-Vis/Etiuda,2020-09-12,5.5,6,filozofia | etyka,200
"Wyspa Łza",Joanna Bator,Znak,2020-07-18,5.7,,literatura piękna,304
"On Fire: The Burning Case for a Green New Dea",Naomi Klein,Allen Lane,2020-07-18,5.5,8,reportaż,224
"Mniej. Intymny portret zakupowy Polaków",Marta Sapała,Mamania,2020-07-17,7.0,7,poradniki,416
"Więźniowie geografii, czyli wszystko, co chciałbyś wiedzieć o globalnej polityce",Tim Marshall,Zysk i S-ka,2020-07-14,7.6,8,popularnonaukowa,376
"Nadzieja w mroku. Nieznane opowieści, niebywałe możliwości",Rebecca Solnit,Karakter,2020-06-23,6.4,7,publicystyka literacka | eseje,264
"Przez",Zośka Papużanka,Marginesy,2020-06-18,6.8,6,literatura piękna,296
"Światy równoległe. Czego uczą nas płaskoziemcy, homeopaci i różdżkarze",Łukasz Lamża,Czarne,2020-05-28,6.7,6,reportaż,224
"Wszyscy jesteśmy cyborgami. Jak internet zmienił Polskę",Michał R. Wiśniewski,Czarne,2020-05-25,6.3,7,reportaż,248
"Kwiaty w pudełku. Japonia oczami kobiet",Karolina Bednarz,Czarne,2020-05-23,7.3,8,reportaż,328
"Dobrze się myśli literaturą",Ryszard Koziołek,Czarne,2020-03-31,7.2,8,publicystyka literacka | eseje,288
"Na końcu języka",Andrzej Pisowicz | Zbigniew Rokita,Fundacja Sąsiedzi,2020-03-23,7.4,6,językoznawstwo | nauka o literaturze,256
"Od tragedii do farsy",Slavoj Žižek,Krytyka Polityczna,2020-03-15,6.6,6,publicystyka literacka | eseje,274
"Nieczułość",Martyna Bunda,Wydawnictwo Literackie,2020-03-16,7.6,7,literatura piękna,348
"Zwrotnice dziejów. Alternatywne historie Polski",Andrzej Chwalba | Wojciech Harpula,Wydawnictwo Literackie,2020-02-26,7.6,8,historia,352
"Dom polski. Meblościanka z pikasami",Małgorzata Czyńska,Czarne,2020-02-17,6.8,7,literatura piękna,208
"Dwa bieguny",Eliza Orzeszkowa,Wydawnictwo MG,2020-02-08,6.7,10,literatura piękna,256
"Ludzie. Krótka historia o tym, jak spieprzyliśmy wszystko",Tom Phillips,Albatros,2020-02-08,6.9,7,popularnonaukowa,320
"Jak pokochać centra handlowe",Natalia Fiedorczuk-Cieślak,Wielka Litera,2020-02-02,6.6,7,reportaż,287
"Przebudzenie. Duchowość bez religii",Sam Harris,Galaktyka,2020-02-02,6.8,7,religia,232
"Homo deus. Krótka historia jutra",Yuval Noah Harari,Wydawnictwo Literackie,2020-01-28,7.9,7,popularnonaukowa,552
"Hello world. Jak być człowiekiem w epoce maszyn",Hannah Fry,Wydawnictwo Literackie,2020-01-26,7.1,7,reportaż,308
"Inni ludzie",Dorota Masłowska,Wydawnictwo Literackie,2020-01-17,7.3,6,literatura piękna,160
"Gen. Ukryta historia",Siddhartha Mukherjee,Czarne,2019-12-29,8.4,8,popularnonaukowa,600
"Boginie z Žítkovej",Kateřina Tučková,Afera,2019-12-22,7.5,7,powieść historyczna,448
"7 nawyków skutecznego działania",Stephen R. Covey,Rebis,2019-12-11,7.6,6,poradniki,376
"Siła",Naomi Alderman,Marginesy,2019-12-09,6.3,5,fantasy | science fiction,397
"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",Mel Robbins,Savio Republic,2019-12-01,6.3,7,poradniki,240
"Brakująca połowa dziejów",Anna Kowalczyk,W.A.B.,2019-11-18,7.6,8,historia,288
"Płynne pokolenie",Zygmunt Bauman | Thomas Leoncini,Czarna Owca,2019-10-15,6.5,6,filozofia | etyka,110
"Urobieni. Reportaże o pracy",Marek Szymaniak,Czarne,2019-10-08,7.3,8,reportaż,240
"Siwy dym albo pięć cywilizowanych plemion",Ziemowit Szczerek,Czarne,2019-09-25,6.2,7,literatura piękna,336
"Running on Empty: Overcoming Your Childhood Emotional Neglect",Jonice Webb,,2019-09-25,6.7,6,nauki społeczne (psychologia | socjologia | itd.),
"Poetka i książę",Manuela Gretkowska,Znak Literanova,2019-09-12,6.1,6,literatura piękna,304
"Chleb w tradycji ludowej",Irena Kubiak,Ludowa Spółdzielnia Wydawnicza,2019-09-03,7.0,7,popularnonaukowa,228
"4-godzinny tydzień pracy. Nie bądź płatnym niewolnikiem od 9.00 do 17.00",Timothy Ferriss,MT Biznes,2019-08-25,6.7,5,poradniki,400
"The Obstacle Is the Way",Ryan Holiday,,2019-08-13,6.8,7,popularnonaukowa,
"Na tropie mikrobiomu. Ogromny wpływ tycich mikrobów",Rob Knight | Brendan Buhler,Relacja,2019-07-27,7.3,6,zdrowie | medycyna,144
"Dlaczego pracujemy",Barry Schwartz,Grupa Wydawnicza Relacja,2019-07-22,6.0,5,nauki społeczne (psychologia | socjologia | itd.),112
"Dlaczego śpimy. Odkrywanie potęgi snu i marzeń sennych",Matthew Walker,Marginesy,2019-07-18,7.9,6,nauki przyrodnicze (fizyka | chemia | biologia | itd.),392
"Ucieczka od wolności",Erich Fromm,Czytelnik,2019-07-02,7.9,7,publicystyka literacka | eseje,296
"Szok przyszłości",Alvin Toffler,Kurpisz,2019-05-15,7.0,6,popularnonaukowa,428
"Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones",James Clear,Penguin Random House,2019-03-23,7.9,7,popularnonaukowa,320
"Cena nieważkości. Kulisy lotu Polaka w kosmos",Dariusz Kortko | Marcin Pietraszewski,Agora,2019-03-22,7.6,7,reportaż,400
"The Compound Effect",Darren Hardy,,2019-03-22,6.4,6,nauki społeczne (psychologia | socjologia | itd.),
"Zawód. Opowieści o pracy w Polsce. To o nas",Kamil Fejfer,Czerwone i Czarne,2019-03-08,6.4,5,reportaż,256
"80-te. Jak naprawdę żyliśmy w ostatniej dekadzie PRL",Joanna Solska,Czerwone i Czarne,2019-02-28,6.9,6,reportaż,272
"Upór. Potęga pasji i wytrwałości",Angela Duckworth,Galaktyka,2019-02-15,7.2,7,poradniki,368
"Życie jak w Tochigi. Na japońskiej prowincji",Anna Ikeda,W.A.B.,2019-02-12,6.7,8,literatura podróżnicza,320
"The War of Art: Break Through the Blocks and Win Your Inner Creative Battles",Steven Pressfield,,2019-02-09,7.0,6,nauki społeczne (psychologia | socjologia | itd.),
"Japonia na co dzień",Wojciech Nowak,Stapis,2019-01-27,6.1,5,turystyka | mapy | atlasy,124
"Śpij dobrze",Nick Littlehales,Agora,2019-01-29,6.4,5,poradniki,200
"Bierut. Kiedy partia była bogiem",Piotr Lipiński,Czarne,2019-01-23,6.6,7,reportaż,272
"Projekt „Rosie”",Graeme Simsion,Media Rodzina,2019-01-16,7.1,6,literatura piękna,320
"The Motivation Hacker",Nick Winter,,2019-01-12,5.0,5,poradniki,
"Kowale i alchemicy",Mircea Eliade,Aletheia,2019-01-12,7.3,7,filozofia | etyka,246
"Sapiens. Od zwierząt do bogów",Yuval Noah Harari,Wydawnictwo Literackie,2019-01-06,8.3,8,popularnonaukowa,544
"Bałtyk. Historie zza parawanu",Aleksandra Arendt,Wydawnictwo Poznańskie,2018-12-29,5.9,6,reportaż,256
